air_date,category,round,x_pos,y_pos,value,weight,daily_double
2002-01-17,MYTHELLANY,2,4,3,1200,1,1
2002-01-17,I'D LIKE TO BUY AN OWL,2,6,4,1600,1,1
2002-01-21,ORGANIZATIONS,1,1,4,800,1,1
2002-01-21,"A GOOD ""ST""ART",2,1,2,800,0.5,1
2002-01-21,"A GOOD ""ST""ART",2,1,5,2000,0.5,1
2002-01-28,HIPPOPOURRI,1,3,4,800,1,1
2002-01-28,STAR WARS TRIVIA,2,2,3,1200,1,1
2002-01-28,PERSON,2,4,3,1200,1,1
2002-01-29,THE ANIMAL KINGDOM,1,1,3,600,0.5,1
2002-01-29,THE ANIMAL KINGDOM,1,1,4,800,0.5,1
2002-01-29,10-LETTER WORDS,2,3,2,800,0.3333333333333333,1
2002-01-29,10-LETTER WORDS,2,3,4,1600,0.3333333333333333,1
2002-01-29,10-LETTER WORDS,2,3,5,2000,0.3333333333333333,1
2002-01-29,THE FIRST CONGRESS,2,4,4,1600,1,1
2002-01-31,THE GOOD BOOK,1,5,5,1000,1,1
2002-01-31,20th CENTURY CHEMISTRY,2,3,1,400,0.3333333333333333,1
2002-01-31,20th CENTURY CHEMISTRY,2,3,2,800,0.3333333333333333,1
2002-01-31,20th CENTURY CHEMISTRY,2,3,3,1200,0.3333333333333333,1
2002-01-31,THE LAW,2,4,1,400,0.3333333333333333,1
2002-01-31,THE LAW,2,4,2,800,0.3333333333333333,1
2002-01-31,THE LAW,2,4,5,2000,0.3333333333333333,1
2002-02-04,STATES OF THE UNION,1,4,3,600,1,1
2002-02-04,"\""E""OGRAPHY",2,1,4,1600,1,1
2002-02-04,DIALOGUE BY SHAKESPEARE,2,3,5,2000,1,1
2002-02-05,"ORDER, PLEASE",1,4,5,1000,1,1
2002-02-05,PLAY TIME,2,1,3,1200,0.5,1
2002-02-05,PLAY TIME,2,1,5,2000,0.5,1
2002-02-05,McPEOPLE,2,2,3,1200,1,1
2002-02-06,THE MIDDLE EAST,1,1,3,600,1,1
2002-02-06,HEALTH MATTERS,2,3,3,1200,1,1
2002-02-06,LONDON,2,6,4,1600,1,1
2002-02-07,CELEBRITIES,1,2,4,800,1,1
2002-02-07,"COMPUTER ""E""s",2,2,3,1200,1,1
2002-02-07,FLAGS,2,4,5,2000,1,1
2002-02-08,U.S. CITIES,1,1,3,600,0.5,1
2002-02-08,U.S. CITIES,1,1,4,800,0.5,1
2002-02-08,POE-TRY,2,2,2,800,1,1
2002-02-08,BOTANY,2,4,3,1200,1,1
2002-02-11,CANADIAN PROVINCES,1,3,5,1000,1,1
2002-02-11,CLIFFS NOTES,2,2,4,1600,1,1
2002-02-11,WORLD CAPITALS,2,5,3,1200,1,1
2002-02-12,CRAYOLA CRAYONS,1,2,5,1000,1,1
2002-02-12,AMERICAN LIT,2,5,1,400,0.5,1
2002-02-12,AMERICAN LIT,2,5,2,800,0.5,1
2002-02-12,I NEED MY SPACE,2,6,2,800,0.5,1
2002-02-12,I NEED MY SPACE,2,6,3,1200,0.5,1
2002-02-13,MASS MEDIA,1,5,4,800,1,1
2002-02-13,TV ALPHABET,2,2,4,1600,0.5,1
2002-02-13,TV ALPHABET,2,2,5,2000,0.5,1
2002-02-13,GO READ A BOOK,2,4,3,1200,1,1
2002-02-14,STUDENT BODY,1,4,4,800,0.5,1
2002-02-14,STUDENT BODY,1,4,5,1000,0.5,1
2002-02-14,A SHAPELY CATEGORY,2,4,2,800,1,1
2002-02-14,10-LETTER WORDS,2,5,4,1600,1,1
2002-02-15,THIS LAND IS THEIR LAND,1,1,4,800,1,1
2002-02-15,TEENS IN MUSICALS,2,2,4,1600,1,1
2002-02-15,SCIENCE,2,4,2,800,0.5,1
2002-02-15,SCIENCE,2,4,3,1200,0.5,1
2002-02-18,YOU KNOW WHAT THEY SAY...,1,6,4,800,1,1
2002-02-18,SERFS UP,2,5,4,1600,1,1
2002-02-18,ENDINGS,2,6,3,1200,1,1
2002-02-19,HISTORIC AMERICAN QUOTES,1,4,4,800,1,1
2002-02-19,19th CENTURY ART,2,1,4,1600,0.5,1
2002-02-19,19th CENTURY ART,2,1,5,2000,0.5,1
2002-02-19,SILENT G,2,4,3,1200,1,1
2002-02-20,REUNITED,1,6,3,600,0.5,1
2002-02-20,REUNITED,1,6,4,800,0.5,1
2002-02-20,FORMER CAPITALS,2,1,2,800,0.5,1
2002-02-20,FORMER CAPITALS,2,1,3,1200,0.5,1
2002-02-20,\'80s TV,2,2,4,1600,0.5,1
2002-02-20,\'80s TV,2,2,5,2000,0.5,1
2002-02-21,THE 18th CENTURY,1,1,3,600,1,1
2002-02-21,YOU ARE THE WEAKEST LINK,2,5,3,1200,1,1
2002-02-21,GOODBYE,2,6,4,1600,1,1
2002-02-22,A CATEGORY ABOUT NOTHING,1,2,4,800,1,1
2002-02-22,RELAX,2,5,3,1200,1,1
2002-02-22,PUT YOUR FLEET UP,2,6,4,1600,1,1
2002-02-26,THE EMANCIPATION PROCLAMATION,1,1,4,800,1,1
2002-02-26,SPORTING PRESIDENTS,2,1,3,1200,0.5,1
2002-02-26,SPORTING PRESIDENTS,2,1,5,2000,0.5,1
2002-02-26,NEW YORK SCHOOLS,2,2,3,1200,1,1
2002-03-06,WOMEN WRITERS,1,3,4,800,1,1
2002-03-06,"\""AZ"" I WAS SAYING...",2,6,3,1200,1,1
2002-03-11,FUN WITH FLOWERS,1,3,3,600,0.5,1
2002-03-11,FUN WITH FLOWERS,1,3,4,800,0.5,1
2002-03-11,OBJETS D'ART,2,1,1,400,0.3333333333333333,1
2002-03-11,OBJETS D'ART,2,1,3,1200,0.3333333333333333,1
2002-03-11,OBJETS D'ART,2,1,5,2000,0.3333333333333333,1
2002-03-11,THE DUSTIN HOFFMAN FILM FESTIVAL,2,3,2,800,0.5,1
2002-03-11,THE DUSTIN HOFFMAN FILM FESTIVAL,2,3,5,2000,0.5,1
2002-03-12,REVOLUTIONARY WORDS,1,4,5,1000,1,1
2002-03-12,PURPLE HEART WINNERS,2,4,4,1600,1,1
2002-03-12,"PAINT IT ""BLACK\""",2,6,5,2000,1,1
2002-03-14,OF MADISON,1,5,4,800,1,1
2002-03-14,FRENCH LITERATURE,2,1,1,400,0.5,1
2002-03-14,FRENCH LITERATURE,2,1,2,800,0.5,1
2002-03-14,YOU'RE AN ANIMAL,2,6,2,800,0.3333333333333333,1
2002-03-14,YOU'RE AN ANIMAL,2,6,4,1600,0.3333333333333333,1
2002-03-14,YOU'RE AN ANIMAL,2,6,5,2000,0.3333333333333333,1
2002-03-15,STATE SUPERLATIVES,1,1,5,1000,1,1
2002-03-15,TV PAST & PRESENT,2,2,4,1600,1,1
2002-03-15,NAMES OF THE '80s,2,4,2,800,0.5,1
2002-03-15,NAMES OF THE '80s,2,4,3,1200,0.5,1
2002-03-18,THE GODFATHER,1,2,3,600,1,1
2002-03-18,THE STATUE OF LIBERTY,2,3,2,800,1,1
2002-03-18,ARMS,2,5,1,400,0.3333333333333333,1
2002-03-18,ARMS,2,5,3,1200,0.3333333333333333,1
2002-03-18,ARMS,2,5,5,2000,0.3333333333333333,1
2002-03-19,SIGNS & SYMBOLS,1,4,1,200,0.3333333333333333,1
2002-03-19,SIGNS & SYMBOLS,1,4,4,800,0.3333333333333333,1
2002-03-19,SIGNS & SYMBOLS,1,4,5,1000,0.3333333333333333,1
2002-03-19,THE NEWSPAPER BIZ,2,4,3,1200,1,1
2002-03-19,MUSIC APPRECIATION,2,5,4,1600,0.5,1
2002-03-19,MUSIC APPRECIATION,2,5,5,2000,0.5,1
2002-03-26,"SHAKESPEAREAN CROSSWORD CLUES ""M\""",2,3,5,2000,1,1
2002-03-26,WACKY ROMAN EMPERORS,2,5,3,1200,1,1
2002-03-27,A BARTENDERS' GUIDE,1,5,4,800,1,1
2002-03-27,THE SUN ALSO RISES,2,1,4,1600,1,1
2002-03-27,INSTITUTIONS,2,4,3,1200,1,1
2002-04-03,NOT IN YOUR OLD DICTIONARY,1,5,5,1000,1,1
2002-04-03,AUSTRALIAN HISTORY,2,1,4,1600,1,1
2002-04-03,SHRIMP,2,3,4,1600,1,1
2002-04-05,CHARLES IN CHARGE,1,5,4,800,1,1
2002-04-05,"\""ON"" WORKS FOR ME",2,5,3,1200,0.5,1
2002-04-05,"\""ON"" WORKS FOR ME",2,5,5,2000,0.5,1
2002-04-08,BIRD PEOPLE,1,5,5,1000,1,1
2002-04-09,HOBBIES,1,2,4,800,0.5,1
2002-04-09,HOBBIES,1,2,5,1000,0.5,1
2002-04-09,SHAKESPEARE PLAYS,2,3,3,1200,1,1
2002-04-09,ON OFF,2,6,5,2000,1,1
2002-04-10,"GEOGRAPHIC ""LAND""S",1,1,5,1000,1,1
2002-04-10,A,2,1,3,1200,0.5,1
2002-04-10,A,2,1,4,1600,0.5,1
2002-04-10,EYE,2,5,3,1200,1,1
2002-04-11,BOOKS ABOUT PRESIDENTS,1,1,3,600,1,1
2002-04-11,BRIT LIT,2,3,3,1200,1,1
2002-04-11,WORLD OF WEATHER,2,5,4,1600,1,1
2002-04-12,CIUDADES DE BAJA CALIFORNIA,1,3,3,600,1,1
2002-04-15,A CHRISTIE MYSTERY,1,4,3,600,1,1
2002-04-15,HEARD OF HARDING,2,3,3,1200,1,1
2002-04-15,DEB-UTANTES,2,4,5,2000,1,1
2002-04-16,LOVE'S LABOUR'S LOST,1,4,4,800,1,1
2002-04-16,FIELD EVENTS,2,4,3,1200,1,1
2002-04-16,TRAVEL & TOURISM,2,5,4,1600,1,1
2002-04-17,VISIBLE BODY PARTS,1,4,3,600,1,1
2002-04-17,FRANKS & BEENS,2,4,3,1200,1,1
2002-04-17,-OLOGIES,2,5,5,2000,1,1
2002-04-18,WINNERS,1,5,3,600,1,1
2002-04-18,THE MAINE INGREDIENTS,2,1,1,400,0.5,1
2002-04-18,THE MAINE INGREDIENTS,2,1,5,2000,0.5,1
2002-04-18,"\""V"" THE PEOPLE",2,5,4,1600,1,1
2002-04-19,SHERLOCK'S ADVENTURES,1,3,2,400,0.5,1
2002-04-19,SHERLOCK'S ADVENTURES,1,3,3,600,0.5,1
2002-04-19,QUOTABLE WOMEN,2,1,4,1600,1,1
2002-04-19,"ENDS IN ""ELLA\""",2,6,4,1600,1,1
2002-04-25,IT'S A GIRL!,1,6,5,1000,1,1
2002-04-25,THE 50 STATES,2,3,4,1600,1,1
2002-04-25,"OH, MY ""LORD""!",2,6,2,800,1,1
2002-05-01,WAX MUSEUMS,1,3,4,800,1,1
2002-05-01,THE NEW YORK TIMES ARTS & LEISUR,2,1,3,1200,1,1
2002-05-01,MIDDLE NAMES,2,4,3,1200,1,1
2002-05-02,MY FAVORITE FILMS,1,2,3,600,1,1
2002-05-02,MIDDLE AGE FOLKS,2,3,2,800,1,1
2002-05-02,"BE AFRAID, BE VERY AFRAID",2,6,3,1200,1,1
2002-05-03,MIND YOUR OWN BUSINESS,1,5,3,600,1,1
2002-05-03,"\""C"" IN SCIENCE",2,3,3,1200,0.5,1
2002-05-03,"\""C"" IN SCIENCE",2,3,4,1600,0.5,1
2002-05-03,KING ME!,2,4,2,800,0.5,1
2002-05-03,KING ME!,2,4,4,1600,0.5,1
2002-05-06,THE NEW YORK TIMES BEST SELLER,1,1,2,400,1,1
2002-05-06,POETIC LICENSE,2,3,4,1600,1,1
2002-05-06,MUSIC APPRECIATION,2,5,4,1600,1,1
2002-05-08,LET A SMILE BE YOUR UMBRIA,1,5,5,1000,1,1
2002-05-08,SHAKESPEARE,2,1,2,800,1,1
2002-05-08,ALL THE PRESIDENTS' MEN,2,2,4,1600,1,1
2002-05-09,SAINTS,1,5,3,600,1,1
2002-05-09,SWITZERLAND,2,3,5,2000,1,1
2002-05-09,MASTERS,2,6,4,1600,0.5,1
2002-05-09,MASTERS,2,6,5,2000,0.5,1
2002-05-10,THIS CATEGORY STINKS!,1,5,4,800,1,1
2002-05-10,WE ARE THE CHAMPIONS,2,3,4,1600,1,1
2002-05-10,RELIGION,2,4,5,2000,1,1
2002-05-13,AUTHORS' NATIVE LANDS,1,4,4,800,1,1
2002-05-13,NEAR EAST ANCIENT HISTORY,2,5,3,1200,1,1
2002-05-13,GRAMMAR SCHOOL,2,6,3,1200,1,1
2002-05-14,GULFS,1,3,3,600,1,1
2002-05-14,THEY'VE BEEN BENCHED,2,4,4,1600,1,1
2002-05-14,4-SYLLABLE WORDS,2,6,3,1200,1,1
2002-05-16,THE PRICE IS,1,1,5,1000,1,1
2002-05-16,COLLEGE COLLAGE,2,2,2,800,0.5,1
2002-05-16,COLLEGE COLLAGE,2,2,3,1200,0.5,1
2002-05-16,BILL MURRAY MOVIE QUOTES,2,3,3,1200,1,1
2002-05-17,LANGUAGES,1,3,2,400,0.5,1
2002-05-17,LANGUAGES,1,3,5,1000,0.5,1
2002-05-17,CAPITAL CITY BIRTHPLACES,2,3,4,1600,1,1
2002-05-17,EUROPEAN ART,2,5,1,400,0.3333333333333333,1
2002-05-17,EUROPEAN ART,2,5,4,1600,0.3333333333333333,1
2002-05-17,EUROPEAN ART,2,5,5,2000,0.3333333333333333,1
2002-05-21,THE MARCH KING,1,3,3,600,0.3333333333333333,1
2002-05-21,THE MARCH KING,1,3,4,800,0.3333333333333333,1
2002-05-21,THE MARCH KING,1,3,5,1000,0.3333333333333333,1
2002-05-21,SHORE SHORTS,2,5,5,2000,1,1
2002-05-21,"\""B"" SHARP",2,6,3,1200,1,1
2002-05-22,MONUMENTS,1,1,4,800,1,1
2002-05-22,THE CIVIL WAR,2,1,2,800,1,1
2002-05-22,THE OFFICE OF THE SURGEON GENERAL,2,3,3,1200,1,1
2002-05-23,INTERNATIONAL AIRLINES,1,2,5,1000,1,1
2002-05-23,PEOPLE OF THE '80s,2,2,3,1200,1,1
2002-05-23,"\""AU"" STRUCK",2,4,3,1200,1,1
2002-05-24,NEW CARS,1,4,4,800,1,1
2002-05-24,BODIES OF WATER,2,1,4,1600,1,1
2002-05-24,CELEBRITY POLITICIANS,2,3,4,1600,1,1
2002-05-27,INSURANCE,1,3,4,800,1,1
2002-05-27,DUELS,2,1,3,1200,1,1
2002-05-27,COUNTRIES OF THE WORLD,2,3,5,2000,1,1
2002-05-28,THE KING,1,3,3,600,1,1
2002-05-28,"PRINCESS, WHO'S YOUR DADDY?",2,2,5,2000,1,1
2002-05-28,"HEY, DOC!",2,5,3,1200,1,1
2002-05-29,PEACETIME HISTORY,1,4,4,800,1,1
2002-05-29,AMERICAN POETS,2,1,5,2000,1,1
2002-05-29,GRAVE MATTERS,2,2,4,1600,1,1
2002-05-30,WORLD FLAGS,1,4,3,600,0.5,1
2002-05-30,WORLD FLAGS,1,4,5,1000,0.5,1
2002-05-30,RELIGIOUS WORKS,2,1,4,1600,0.5,1
2002-05-30,RELIGIOUS WORKS,2,1,5,2000,0.5,1
2002-05-30,ACID REIGN,2,5,4,1600,1,1
2002-05-31,TOM WHO...,1,5,3,600,0.5,1
2002-05-31,TOM WHO...,1,5,5,1000,0.5,1
2002-05-31,JERUSALEM,2,1,5,2000,1,1
2002-05-31,AVIARY,2,5,5,2000,1,1
2002-06-03,THE ELEMENTS,1,1,3,600,1,1
2002-06-03,STATES OF THE UNION,2,1,5,2000,1,1
2002-06-03,DANCES,2,5,4,1600,0.5,1
2002-06-03,DANCES,2,5,5,2000,0.5,1
2002-06-04,GEOGRAPHIC TERMS,1,1,5,1000,1,1
2002-06-04,TROPICAL FRUIT,2,3,2,800,0.5,1
2002-06-04,TROPICAL FRUIT,2,3,4,1600,0.5,1
2002-06-04,BEASTLY VERBS,2,4,3,1200,0.5,1
2002-06-04,BEASTLY VERBS,2,4,4,1600,0.5,1
2002-06-05,FLY ME,1,5,2,400,1,1
2002-06-05,THERE OUGHTA BE A LAW,2,4,2,800,0.3333333333333333,1
2002-06-05,THERE OUGHTA BE A LAW,2,4,4,1600,0.3333333333333333,1
2002-06-05,THERE OUGHTA BE A LAW,2,4,5,2000,0.3333333333333333,1
2002-06-05,MNEMONICS,2,6,4,1600,1,1
2002-06-06,FOREST,1,3,3,600,1,1
2002-06-06,YOUR INITIAL RESPONSE IS CORRECT,2,6,3,1200,1,1
2002-06-07,COBRA CABANA,1,6,4,800,1,1
2002-06-07,AFRICAN CITIES,2,1,4,1600,1,1
2002-06-07,NOTHING BUT TIME,2,5,4,1600,1,1
2002-06-10,DAVY CROCKETT,2,1,5,2000,1,1
2002-06-10,"THE ""F"" FILES",2,6,3,1200,1,1
2002-06-11,BEN,1,2,5,1000,1,1
2002-06-11,SCOTLAND,2,1,5,2000,1,1
2002-06-11,SOMETHING'S FISHY,2,3,3,1200,0.5,1
2002-06-11,SOMETHING'S FISHY,2,3,5,2000,0.5,1
2002-06-12,STATE LICENSE PLATES,1,1,2,400,1,1
2002-06-12,CHEMISTRY,2,1,4,1600,1,1
2002-06-12,OLD MONEY,2,4,4,1600,1,1
2002-06-13,"\""QUE"" TIPS",1,6,3,600,1,1
2002-06-13,FOUR,2,5,4,1600,1,1
2002-06-14,U.S. HISTORY,1,1,5,1000,1,1
2002-06-14,WHO'S A SAINT?,2,1,4,1600,1,1
2002-06-14,STATUARY HALL,2,2,4,1600,1,1
2002-06-17,NOT NO. 1,1,4,5,1000,1,1
2002-06-17,ON THE INTERSTATE,2,3,3,1200,1,1
2002-06-17,COVERING BARON GROUND,2,5,3,1200,1,1
2002-06-18,"\""M"" MARKS THE SPOT",1,3,3,600,0.5,1
2002-06-18,"\""M"" MARKS THE SPOT",1,3,4,800,0.5,1
2002-06-18,GOVERNORS,2,1,1,400,0.5,1
2002-06-18,GOVERNORS,2,1,4,1600,0.5,1
2002-06-18,JEREMIAH WAS A PROPHET,2,4,5,2000,1,1
2002-06-19,SPINAL TAP,2,1,5,2000,1,1
2002-06-19,TONIGHT I'M GONNA ROCK YOU TONIGHT,2,3,5,2000,1,1
2002-06-20,CITY QUOTES,1,1,5,1000,1,1
2002-06-20,OFFICIAL SEALS,2,3,4,1600,1,1
2002-06-20,MOUNT RUSHMOR,2,4,3,1200,1,1
2002-06-21,CELEBRATE THE CENTURY STAMPS,1,3,4,800,1,1
2002-06-21,WATCH YOUR TONGUE,2,2,3,1200,0.5,1
2002-06-21,WATCH YOUR TONGUE,2,2,4,1600,0.5,1
2002-06-24,GERMAN CITIES,1,4,4,800,1,1
2002-06-24,GENETICS,2,3,4,1600,1,1
2002-06-24,MUSICAL INSPIRATIONS,2,5,5,2000,1,1
2002-06-25,LITERARY TRILOGIES,1,1,5,1000,1,1
2002-06-25,THE BODY HUMAN,2,3,4,1600,1,1
2002-06-25,HOMOPHONIC PAIRS,2,6,4,1600,1,1
2002-06-26,CANALS,1,4,5,1000,1,1
2002-06-26,HISTORIANS,2,1,3,1200,1,1
2002-06-26,COMPOUND WORDS,2,6,5,2000,1,1
2002-07-01,STATE CAPITALS,1,1,4,800,1,1
2002-07-01,SONNETS,2,1,4,1600,1,1
2002-07-01,DIACRITICAL MARKS,2,6,3,1200,0.5,1
2002-07-01,DIACRITICAL MARKS,2,6,4,1600,0.5,1
2002-07-02,FROM FRANCE,1,5,3,600,0.5,1
2002-07-02,FROM FRANCE,1,5,4,800,0.5,1
2002-07-02,A PINT OF ALEC GUINNESS,2,2,4,1600,1,1
2002-07-03,EMPIRES,1,1,5,1000,1,1
2002-07-03,THE FIRTH OF FORTH,2,1,5,2000,1,1
2002-07-03,SPORTSMEN,2,4,3,1200,0.5,1
2002-07-03,SPORTSMEN,2,4,4,1600,0.5,1
2002-07-04,GEORGE M. COHAN,1,5,4,800,1,1
2002-07-04,DISCOVERY,2,1,5,2000,1,1
2002-07-04,JUNG AT HEART,2,2,3,1200,1,1
2002-07-05,THEATER TERMS,1,4,3,600,1,1
2002-07-05,WORDS IN COMBINATION,2,3,1,400,0.5,1
2002-07-05,WORDS IN COMBINATION,2,3,4,1600,0.5,1
2002-07-05,CAESARS,2,6,4,1600,1,1
2002-07-08,ALONG I-80,1,5,5,1000,1,1
2002-07-08,ANCIENT TIMES,2,1,5,2000,1,1
2002-07-08,MOVIE MUSIC,2,2,2,800,0.3333333333333333,1
2002-07-08,MOVIE MUSIC,2,2,3,1200,0.3333333333333333,1
2002-07-08,MOVIE MUSIC,2,2,4,1600,0.3333333333333333,1
2002-07-11,STARS & CONSTELLATIONS,1,1,4,800,1,1
2002-07-11,BRITISH POETS & POETRY,2,1,2,800,1,1
2002-07-11,I NEED HELP!,2,5,3,1200,1,1
2002-07-12,STAMPS OF APPROVAL,1,4,4,800,1,1
2002-07-12,19th CENTURY QUOTES,2,3,3,1200,1,1
2002-07-12,BEFORE & AFTER,2,6,3,1200,1,1
2002-07-15,FUN IN THE CITY,1,1,2,400,0.5,1
2002-07-15,FUN IN THE CITY,1,1,4,800,0.5,1
2002-07-15,BOOKS & AUTHORS,2,1,3,1200,0.5,1
2002-07-15,BOOKS & AUTHORS,2,1,5,2000,0.5,1
2002-07-15,REALLY BAD DAYS,2,3,3,1200,0.5,1
2002-07-15,REALLY BAD DAYS,2,3,4,1600,0.5,1
2002-07-16,A SPANISH INQUISITION,1,6,5,1000,1,1
2002-07-16,THE WAR OF 1812,2,1,3,1200,0.5,1
2002-07-16,THE WAR OF 1812,2,1,4,1600,0.5,1
2002-07-16,MEDICINE,2,5,3,1200,0.5,1
2002-07-16,MEDICINE,2,5,5,2000,0.5,1
2002-07-17,WORD & PHRASE ORIGINS,1,6,5,1000,1,1
2002-07-17,WILSON'S 14 POINTS,2,1,4,1600,1,1
2002-07-17,FORMER APPRENTICES,2,3,3,1200,1,1
2002-07-18,STATE CAPITALS,1,1,4,800,1,1
2002-07-18,CHARACTERS IN PLAYS,2,3,4,1600,1,1
2002-07-18,SPORTS IN THE '90s,2,4,2,800,0.5,1
2002-07-18,SPORTS IN THE '90s,2,4,3,1200,0.5,1
2002-07-19,SO LONG,2,3,3,1200,1,1
2002-07-19,WE'RE NOT GOING FAR,2,6,3,1200,1,1
2002-09-02,MUSEUMS,1,2,3,600,1,1
2002-09-02,"\""Y"" ME?",2,5,4,1600,1,1
2002-09-02,WE GOTTA BLAME SOMEBODY,2,6,5,2000,1,1
2002-09-03,STATE OF THE UNION,1,4,5,1000,1,1
2002-09-03,DR. WHO...,2,1,5,2000,1,1
2002-09-03,STAR TRACK,2,4,3,1200,0.5,1
2002-09-03,STAR TRACK,2,4,4,1600,0.5,1
2002-09-04,CONSTITUTIONAL POWERS OF CONGRESS,1,4,4,800,1,1
2002-09-04,GARDEN TALK,2,4,4,1600,1,1
2002-09-04,MATHEMATICIANS,2,5,4,1600,0.5,1
2002-09-04,MATHEMATICIANS,2,5,5,2000,0.5,1
2002-09-05,ROCKS & MINERALS,1,1,4,800,1,1
2002-09-05,HUMPHREY BOGART MOVIES,2,5,3,1200,1,1
2002-09-05,ALL I WANT FOR ISTHMUS,2,6,3,1200,1,1
2002-09-06,HISTORIC HISTORIANS,1,1,4,800,1,1
2002-09-06,SAINTS ON THE MAP,2,2,4,1600,0.5,1
2002-09-06,SAINTS ON THE MAP,2,2,5,2000,0.5,1
2002-09-09,think small,1,4,4,800,1,1
2002-09-09,ALL ABOUT FOOTBALL,2,2,3,1200,0.5,1
2002-09-09,ALL ABOUT FOOTBALL,2,2,4,1600,0.5,1
2002-09-09,BOTANY,2,5,4,1600,0.5,1
2002-09-09,BOTANY,2,5,5,2000,0.5,1
2002-09-10,"\""B\""",1,6,3,600,1,1
2002-09-10,PLACES IN THE NEWS,2,3,3,1200,1,1
2002-09-10,SIX CHARACTERS IN SEARCH OF AN AUTHOR,2,4,5,2000,1,1
